original_message,summary,카테고리,감성,전체 감성
가격비교하다가 옥션이 가장 저렴해서 구매했어요. 배송도 빠르고 설치도 바로해주셨어요. 너무 만족합니다!,"저렴한 가격, 빠른 배송, 빠른 설치, 만족","가격, 배송, 설치","가격: 긍정, 배송: 긍정, 설치: 긍정",긍정
배송도 빠르고 친절합니다,"빠른 배송, 친절함","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
너무 맘에 들아요 ㅜㅜㅜㅜㅜㅜ일년동안 고민했는데 진즉에 샀어야합니다 지르세여~,"만족, 추천",구매,구매: 긍정,긍정
딸선물로 사줬는데 너무좋아하네여,"딸선물, 만족",선물,선물: 긍정,긍정
배송도 빠르고 제품도 좋아요,"빠른 배송, 좋은 제품","배송, 제품","배송: 긍정, 제품: 긍정",긍정
배송도 빠르고 너무 좋아요,"빠른 배송, 만족",배송,배송: 긍정,긍정
서비스 친절하고 써게 잘 구매 항것 같습니닻,"친절한 서비스, 만족스러운 구매","서비스, 구매","서비스: 긍정, 구매: 긍정",긍정
배송도 빠르고 디자인도 깔끔해서맘에 들어요,"빠른 배송, 깔끔한 디자인","배송, 디자인","배송: 긍정, 디자인: 긍정",긍정
좋아요 이쁩니다!추천드립니다,"이쁨, 추천","디자인, 추천","디자인: 긍정, 추천: 긍정",긍정
"거실에 65인치가 있어서 생각보다 자주 사용하진 않디만, 안방 침대가 높아 편해요!",편리한 침대,"사용 빈도, 침대","사용 빈도: 중립, 침대: 긍정",긍정
와이프선물해줬는데 너무 좋아하네요^^,"선물, 만족",선물,선물: 긍정,긍정
소음이나는건지 원래이런건지 매장가서 한번 비교해보려구용,"소음, 비교","소음, 비교","소음: 부정, 비교: 중립",부정
여기저기 끌고다니면서 눈높이와 각도를 편하게 맞춰서 끊김없이 영상을 졸 수 있어서 좋아요,"편리한 조절, 끊김없는 영상","조절, 영상","조절: 긍정, 영상: 긍정",긍정
주문하고 주말끼고 5일만에 도착했어요. 엘지 설치기사님들께서 시간 맞춰 오셨고 친절하게 잘 설치해주셨어요.큰 화면으로 보니 아주 시원시원하고 좋아요.적당히 무게감도 있고 디자인도 깔끔하고 좋아요.,"빠른 배송, 친절한 설치, 큰 화면, 깔끔한 디자인","배송, 설치, 화면, 디자인","배송: 긍정, 설치: 긍정, 화면: 긍정, 디자인: 긍정",긍정
애기때문에 큰티비를 못보고있는데 이거 없었으면 어쩔뻔했나 싶어요,"큰 티비, 유용함","티비, 유용함","티비: 긍정, 유용함: 긍정",긍정
"착한가격, 설치부터 설명까지.. 너무 친절하게 잘 받았습니다.","착한 가격, 친절한 설치 및 설명","가격, 설치, 설명","가격: 긍정, 설치: 긍정, 설명: 긍정",긍정
주문하고 바로 다음날 배송왔고 LG 기사님들이 직접 오셔서 너무 친절하게 설치하고 작동법까지 설명해주셨어요! 제일 빠른 데서 오는 데로 주문하고 싶었는데 가격도 합리적이고 배송도 빨라서 너무 만족합니다 :) 친구들 모여서도 쓰기 좋고 혼자서도 보기 좋고 삶의 질 대상승했어요!,"빠른 배송, 친절한 설치, 합리적 가격, 높은 만족도, 삶의 질 향상","배송, 설치, 가격, 사용성","배송: 긍정, 설치: 긍정, 가격: 긍정, 사용성: 긍정",긍정
고민 엄청했는데 너무 좋아요 설치 기사님들도 친절해요 엄마랑 사이좋게 잘쓰고 있어요,"좋은 제품, 친절한 설치, 가족 만족","제품, 설치, 가족","제품: 긍정, 설치: 긍정, 가족: 긍정",긍정
이틀만에 배송 완료 되었고 빠르게 설치해주셨습니다.,"빠른 배송, 빠른 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
이동가능해서 홈트할 때도 편하고 영화보기에도 안성맞춤이라서 만족도가 높아요,"이동성, 홈트 편리, 영화 감상, 높은 만족도","이동성, 홈트, 영화 감상","이동성: 긍정, 홈트: 긍정, 영화 감상: 긍정",긍정
그냥 스탠바이미는 예쁜 인테리어용입니다.아직 티비가 없는 저희 신혼집에서는 유용하게 잘 쓰이고 있어요!!!! 어디든 놓아도 인테리어를 해치지않고 너무 좋아요,"예쁜 인테리어, 유용성, 신혼집 적합","인테리어, 유용성, 신혼집 적합","인테리어: 긍정, 유용성: 긍정, 신혼집 적합: 긍정",긍정
신혼부부라서 집에 장만 했다가 효도 할겸 부모님 선물드렸습니다너무만족,"신혼부부, 부모님 선물, 만족","구매, 선물","구매: 긍정, 선물: 긍정",긍정
"친구에게 선물로 보냈는데, 매우만족하였습니다.배송도뺄랐습니다.","만족, 빠른 배송","선물, 배송","선물: 긍정, 배송: 긍정",긍정
설치 기사분 친절하셨구요~ 생각보다 화질도 좋고 크기도 적당하네요 만족합니다~,"친절한 기사, 좋은 화질, 적당한 크기, 만족","설치, 화질, 크기","설치: 긍정, 화질: 긍정, 크기: 긍정",긍정
괜찮네요 아주좋아요...ㅇ.,아주 좋음,품질,품질: 긍정,긍정
잘받았습니다 기사분들도 친절하시고 좋아요,"친절한 기사, 만족","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
잘 쓰고 있습니다.,만족,사용,사용: 긍정,긍정
진짜 엄청 고민고민 하다가 구입햣어요원하는 날에 바로 배달 설치해주셧고쓸수록 좋네요침실에서 쓰기 너무 좋아오,"빠른 배달, 설치, 침실 사용 만족","배송, 설치, 사용","배송: 긍정, 설치: 긍정, 사용: 긍정",긍정
빠른배송 신속 설치로 물건 잘 받았습니다. 바닥이 장판인데 이리저리 옮겨보니 소리없이 부드럽게 잘 굴러다닙니다,"빠른 배송, 신속 설치, 부드러운 이동","배송, 설치, 이동","배송: 긍정, 설치: 긍정, 이동: 긍정",긍정
아주 좋아요 애용합니다.,애용,사용,사용: 긍정,긍정
좋은제품 감사합니다.,좋은 제품,제품,제품: 긍정,긍정
유선 TV 연결 방법을 찾기가 어려워요,유선 TV 연결 어려움,연결,연결: 부정,부정
대박입니다 계속 참다가 질렀습니다^^근데 왜 이제 샀을까 후회를 계속하고 있네욥ㅜㅜ,"대박, 후회",구매,구매: 긍정,긍정
디자인도 심플하고 사용감도 너무 좋아요:),"심플한 디자인, 좋은 사용감","디자인, 사용감","디자인: 긍정, 사용감: 긍정",긍정
사기를 잘했어요.좋은 물건 저렴하게 잘 샀어요.,"좋은 물건, 저렴한 가격","물건, 가격","물건: 긍정, 가격: 긍정",긍정
배송도 좋고 다 좋습니다~ 번창하세요,좋은 배송,배송,배송: 긍정,긍정
화질도 생각보다 좋고 매장에서 봤을땐 작아보였는데집에두니 크기 딱 좋네요 잘 쓰고 있어요,"좋은 화질, 적절한 크기","화질, 크기","화질: 긍정, 크기: 긍정",긍정
안방에 뒀는데 있으면 편하고 쓰임이 많아요!,"편리함, 다용도","편리함, 다용도","편리함: 긍정, 다용도: 긍정",긍정
진짜 이뻐요 아 저렴이 삼탠바이미 뭐 다 팔요없어요원조는 원조다 스탠바이미 짱,"예쁜 디자인, 원조 제품, 높은 만족도","디자인, 제품","디자인: 긍정, 제품: 긍정",긍정
인터넷은 좀 느린편이지만 다른건 좋아요 ㅎ,"느린 인터넷, 다른 장점","인터넷 속도, 기타","인터넷 속도: 부정, 기타: 긍정",중립
너무 이쁜것 같아요!!!!,이쁨,디자인,디자인: 긍정,긍정
빠르게 잘 받아서 사용하고 있습니다.,빠른 배송,배송,배송: 긍정,긍정
매우 좋은 구매 조건으로 구입했습니다. 신속 정확한 배송은 덤입니다. 가격대비 최고의 품질입니다.,"좋은 구매 조건, 신속 정확한 배송, 최고의 품질","구매 조건, 배송, 품질","구매 조건: 긍정, 배송: 긍정, 품질: 긍정",긍정
역시나 진작 살껄 그랬어요~~ 너무 맘에 듭니다!!!,만족,제품,제품: 긍정,긍정
배송빠르고 좋아요 잘쓰고있어요 ^^,"빠른 배송, 만족",배송,배송: 긍정,긍정
오 이것은 혁명입니다,혁명,혁명,혁명: 긍정,긍정
와이프 홈트용으로 구입했는데 정말 맘에 들어하네요^^,"만족, 홈트용","구매, 홈트","구매: 긍정, 홈트: 긍정",긍정
배송도 빠르고 상품도 문제없고 좋아요,"빠른 배송, 상품 만족","배송, 상품","배송: 긍정, 상품: 긍정",긍정
아주친절하게 잘설치했습니다 감사합니다,친절한 설치,설치,설치: 긍정,긍정
"인테리어용으로도 너무 좋고, 화질도 생각보다 좋아용","인테리어, 좋은 화질","인테리어, 화질","인테리어: 긍정, 화질: 긍정",긍정
누워서 보고. 요리하면서 보고. 최고에요!,"편리함, 최고",편리함,편리함: 긍정,긍정
드디어 스탠바이미🤍🤍🤍 넘이쁘고 편하고 좋아요!,"예쁜 디자인, 편리함, 만족","디자인, 편리함","디자인: 긍정, 편리함: 긍정",긍정
"사고나서 너무 잘쓰고 있습니다. 큰 태블릿쓰는거 같습니다. 게임도 하고 유튜브,넷플릭스, 잘보고 있구요 이제 티비한대로 안싸워도 되서 좋습니다^^","큰 태블릿, 게임, 유튜브, 넷플릭스, 티비, 만족","태블릿, 게임, 유튜브, 넷플릭스, 티비","태블릿: 긍정, 게임: 긍정, 유튜브: 긍정, 넷플릭스: 긍정, 티비: 긍정",긍정
뭐.. 긴 말이 필요없져. 첨엔 넘 기대해서 조금 실망했는데 쓸수록 편하고 좋네용ㅎㅎㅎ 와이파이문제로 엘지띵큐앱으로 기기연결이 안되서 고생했는데 결국 공유기 문제였어요.. 원인 찾기까지 너무 힘들었움.. 암튼 전체적으로 만족합니다. 아 그리고 카메라거치대(?) 이런걸 이젠 안준다고해서 아쉬웠어여,"편리함, 와이파이 문제, 공유기 문제, 전체 만족, 카메라 거치대 아쉬움","편리함, 와이파이 문제, 공유기 문제, 전체 만족, 카메라 거치대","편리함: 긍정, 와이파이 문제: 부정, 공유기 문제: 부정, 전체 만족: 긍정, 카메라 거치대: 부정",중립
"친절하게 설치, 감사합니다.",친절한 설치,설치,설치: 긍정,긍정
만족합니다아아아아아,만족,서비스,서비스: 긍정,긍정
남편한테 티비있는데 왜사냐구 햇는데 제가더 잘보고잇어요..ㅎㅎ,"티비, 잘봄",티비,티비: 긍정,긍정
삼탠바이미랑 고민하다가 샀는데 완전 만족 저한테는 딱이예요 끌고다닐수있고 무선이라 편하고 작동도 쉽고 활용도도 높아요,"만족, 편리, 쉬운 작동, 높은 활용도","이동성, 무선, 작동, 활용도","이동성: 긍정, 무선: 긍정, 작동: 긍정, 활용도: 긍정",긍정
며칠전에 이 상품을 알고 바로 주문했어요 아이에게 외국어영상교육용 및 남편 영상 시청용으로 잘 활용할 거 같아요,"외국어 영상 교육, 영상 시청용 활용","주문, 활용","주문: 긍정, 활용: 긍정",긍정
이사하면서 스마트 티비로 바꿨고 그 전에는 스마트 티비가 아니어서 ott 볼겸 구매했는데 지금은 저녁에 잠깐 애들 유투브 용으로 잘 쓰고 있습니다,"스마트 티비, ott, 유투브 용","스마트 티비, ott, 유투브 용","스마트 티비: 긍정, ott: 긍정, 유투브 용: 긍정",긍정
제품 잘 사용중입니다.다음에도 필요하면 구매하겠습니다 감사합니다.,"제품 만족, 재구매 의사",제품,제품: 긍정,긍정
추천합니다.*^^*,추천,추천,추천: 긍정,긍정
"설치기사님께서 빠르게 해주시고,친절한 설명도 좋았어요~","빠른 설치, 친절한 설명","설치, 설명","설치: 긍정, 설명: 긍정",긍정
인테리어도 너무 이쁘고 기능이며 뭐며 다 좋음,"이쁜 인테리어, 좋은 기능","인테리어, 기능","인테리어: 긍정, 기능: 긍정",긍정
만족합니다 설치 빨라요,"만족, 빠른 설치",설치,설치: 긍정,긍정
배송아주빠르고 넘 좋아요,"빠른 배송, 만족",배송,배송: 긍정,긍정
배송 빠르고 친절하게 설치까지 해주셨습니다.물건도 마음에 들어요,"빠른 배송, 친절한 설치, 만족스러운 물건","배송, 설치, 물건","배송: 긍정, 설치: 긍정, 물건: 긍정",긍정
저렴한가격에 스탠바이미 너무 좋아요~,"저렴한 가격, 스탠바이미 만족","가격, 제품","가격: 긍정, 제품: 긍정",긍정
문의드리면 답변도 빠르시고 물건도하자없이 왔어요 감사합니다!,"빠른 답변, 하자 없음","답변, 물건 상태","답변: 긍정, 물건 상태: 긍정",긍정
배송 빠르고 물건 좋습니다,"빠른 배송, 좋은 물건","배송, 물건","배송: 긍정, 물건: 긍정",긍정
선물로 구입했는데 대만족입니다,대만족,선물,선물: 긍정,긍정
감사합니다 잘쓰겠습니다,감사,사용,사용: 긍정,긍정
너무좋아요~~여기저기 끌고다니면서 잘보고있어요ㅎㅎ,"휴대성, 만족","휴대성, 사용성","휴대성: 긍정, 사용성: 긍정",긍정
선물했는데 만족해하니 저도 좋네요,선물 만족,선물,선물: 긍정,긍정
기스난 상품 받아서 한번 반품했는데 그 다음날 새상품으로 받아서 다행이예요 상품자체는 마음에 듭니다~,"반품, 새상품, 만족","상품, 반품, 배송","상품: 긍정, 반품: 부정, 배송: 긍정",중립
기대 이상이네요 ~~~ 굿,"기대 이상, 굿",기대,기대: 긍정,긍정
가전제품은 원래 배송이 좀 느린데 빨리 왔고 작동도 쉽네요 침대에서 편하게 보고 있어요,"빠른 배송, 쉬운 작동, 편리함","배송, 작동, 편리함","배송: 긍정, 작동: 긍정, 편리함: 긍정",긍정
스탠바이미 고민고민하다가 구매했는데 진작에 구매할껄 그랬어요~ 와이프도 좋아하고 특히 아이가 너무 좋아하네요~ 방에서도 편하게 볼수 있고 이동도 너무 편해서 참 좋네요^^ 생각보다ㅜ화질도 좋네요~^^,"편리한 이동, 좋은 화질, 가족 만족","이동, 화질, 가족 만족","이동: 긍정, 화질: 긍정, 가족 만족: 긍정",긍정
진짜 편하고 좋아요! 무조건 만족 ㅎ 2대째 쓰는중입니다,"편리함, 만족, 재구매","편리함, 재구매","편리함: 긍정, 재구매: 긍정",긍정
배송빨랐어요역시 사길 잘했다는...빨리 구매할걸그랬어요,"빠른 배송, 만족",배송,배송: 긍정,긍정
감사합니다 이뻐요 잘 쓰겠습니다,이쁜 디자인,디자인,디자인: 긍정,긍정
정말 너~무 좋네요!! 방에서 노트북으로만 보다가 크게 보니까 좋습니다:),"화질 만족, 큰 화면","화질, 화면 크기","화질: 긍정, 화면 크기: 긍정",긍정
빠른 배송 감사합니다.요거요거 요물이네용... 좋아용 좋아...,"빠른 배송, 제품 만족","배송, 제품","배송: 긍정, 제품: 긍정",긍정
최고예요 좋아요 좋아요,"최고, 좋아요",제품,제품: 긍정,긍정
싸게 잘산거 같아 좋아요,"저렴한 가격, 만족",가격,가격: 긍정,긍정
배송도 기사님들이 직접해주시고 너무 잘 사용하고있습니다.,"직접 배송, 사용 만족","배송, 사용","배송: 긍정, 사용: 긍정",긍정
선물 했는대 tv보기 간편하고 좋다고합니다,"간편한 사용, 좋은 품질","사용, 품질","사용: 긍정, 품질: 긍정",긍정
부모님이 잘쓰고 있스비다.,부모님 만족,사용,사용: 긍정,긍정
잘사용중이예요~~~,사용 만족,사용,사용: 긍정,긍정
아직사용전입니다만 감사합니다,감사,사용,사용: 긍정,긍정
사고나니 가격이 좀더 내려서 속상하지만 평소 갖고싶었던제품이라 대만족이에요배송만 조금만더 빠르면 좋을듯,"가격 하락, 제품 만족, 배송 아쉬움","가격, 제품, 배송","가격: 부정, 제품: 긍정, 배송: 부정",중립
굿굿이에요,만족,서비스,서비스: 긍정,긍정
빠르게 배송 와서 잘 설치해주시고 가셨습니다,"빠른 배송, 설치 완료","배송, 설치","배송: 긍정, 설치: 긍정",긍정
빠른 배송과 꼼꼼한 설치~,"빠른 배송, 꼼꼼한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
아주좋습니다 배송도빠르구 편리해요,"빠른 배송, 편리함","배송, 편리함","배송: 긍정, 편리함: 긍정",긍정
배터리가 오래 안가요ㅠ유일한 단점입니다,배터리 수명 단점,배터리,배터리: 부정,부정
엄청 높은 매트위에 둬서 이제 잘 굴러가진않지만..여기저기 옮겨서 볼수있는 장점이 너무 커요근데 엄청 무겁습니다,"높은 매트, 이동성, 무거움","높은 매트, 이동성, 무게","높은 매트: 중립, 이동성: 긍정, 무게: 부정",중립
굿 말해뭐해제일 잘 산 가전템ㅋ 없이는 못 살아,"최고 가전템, 필수품",가전템,가전템: 긍정,긍정
우선 예뻐서 더 보게되네요 ㅎ 티비없앤지2년되었고요즘 대세ott보는 분들 강력추천 드려요.,"예쁜 디자인, OTT 추천","디자인, OTT","디자인: 긍정, OTT: 긍정",긍정
신혼부부 친구에서 선물로 주었습니다.친구와이프에게 톡이왔어요저인간이 침대에서 안일어나요ㅡㅡ,"선물, 침대 만족","선물, 침대","선물: 긍정, 침대: 긍정",긍정
배송 잘받았습니다,배송 완료,배송,배송: 긍정,긍정
배송하시는 분들이 친절하고배송도 빨라요. 제품은 말할것도 없이 좋아요,"친절한 배송, 빠른 배송, 좋은 제품","배송, 제품","배송: 긍정, 제품: 긍정",긍정
저렴한 가격에 유용하게 잘 쓰고 있습니다.,"저렴한 가격, 유용성","가격, 유용성","가격: 긍정, 유용성: 긍정",긍정
저렴하게 잘 샀습니당,저렴한 가격,가격,가격: 긍정,긍정
대체공휴일에 설치해주고 가셨어요 친절해요,"대체공휴일 설치, 친절","설치, 서비스","설치: 긍정, 서비스: 긍정",긍정
아주 마음에 들고 좋은 금액으로 구입했습니다.,"좋은 금액, 만족","구입 금액, 만족","구입 금액: 긍정, 만족: 긍정",긍정
"만족합니다, 침대에서 못벗어나고있어요","만족, 편안한 침대",침대,침대: 긍정,긍정
저렴하게 사서 만족합니다,"저렴, 만족",가격,가격: 긍정,긍정
너무 편하고 진짜 좋아요,"편안함, 만족","편안함, 만족","편안함: 긍정, 만족: 긍정",긍정
디자인 좋아요 화질은 그냥 그냥 두고보니 쓸모가 그냥..,"좋은 디자인, 보통 화질, 보통 쓸모","디자인, 화질, 쓸모","디자인: 긍정, 화질: 부정, 쓸모: 부정",부정
배송도 빠르고 설치도 완벽합니다. 감사합니다.,"빠른 배송, 완벽한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
괜찮은거같아요 잘쓸게요,만족,사용,사용: 긍정,긍정
누워서 티비보기 넘 좋네요 ㅎㅎ,"편안함, 티비 시청","편안함, 티비 시청","편안함: 긍정, 티비 시청: 긍정",긍정
배송도 빠르고 편하게 이동할수 있어서 편리하네요,"빠른 배송, 편리함","배송, 이동","배송: 긍정, 이동: 긍정",긍정
편하고 좋아요!!!!!!!,"편리함, 만족",편리함,편리함: 긍정,긍정
정말 사길잘했다고 생각해요.. 정말 편하고 화질도 좋네요 이거때문에 없던 ott 상품도 다결제... 얘없이못살라요,"편리함, 좋은 화질, OTT 결제","편리함, 화질, OTT 결제","편리함: 긍정, 화질: 긍정, OTT 결제: 긍정",긍정
다 좋습니다다만 가격이 좀 비싸네요,비싼 가격,가격,가격: 부정,부정
만족합니다 감사합니다,"만족, 감사",서비스,서비스: 긍정,긍정
스탠바이미 필요성이 없다고 느꼈는데 있으니 너무 편하고 좋아요 ツ,"편리함, 만족","편리함, 필요성","편리함: 긍정, 필요성: 긍정",긍정
아주좋아요 배송도짱빨라요,"아주 좋음, 빠른 배송",배송,배송: 긍정,긍정
늦게올까 걱정했는데 거의 하루만에 바로 왔고상품도 하자없이 너무 좋네요 최고입니다요즘 이거 없이 못살아요ㅋㅋ,"빠른 배송, 상품 만족, 필수품","배송, 상품","배송: 긍정, 상품: 긍정",긍정
빠른배송 정확한날짜에 설치까지 야무지게해주셨어요 감사합니다,"빠른 배송, 정확한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
아주 만족합니다. 강추합니다.,"만족, 강추",만족,만족: 긍정,긍정
"지정일 배송으로 설연휴 전에 받았어요~~ LG 설치기사님도 친절하시고 공식인증점에서 구매한거라 믿음이 가네요 ~ 항상 살지말지 망설였었는데, 사용해보니 너무 편리하네요 :)","지정일 배송, 친절한 설치기사, 공식인증점, 편리함","배송, 설치, 구매, 사용","배송: 긍정, 설치: 긍정, 구매: 긍정, 사용: 긍정",긍정
티비를 그렇게 잘 보는편이 아니라 따로 티비를 구매하지 않고 아이패드로 혹은 컴퓨터로 영상을 보는편입니다.18평대 투룸으로 이사하면서 좀 큰 화면으로 영상을 보고싶어서 구매했구요.콘센트는 거실에 두고 거실에서 충전하면서 보다가 잠들기전 충전기에서 분리하여 안방으로 가져가 보다가 잠드는게 너무 좋네요.지인들 놀러왔을때 미러링으로 사진이나 영상을 띄우거나 할 수 있어서 연말 파티때 잘 사용하였습니다.,"큰 화면, 편리한 이동, 미러링 기능, 연말 파티 활용","큰 화면, 편리한 이동, 미러링 기능, 연말 파티 활용","큰 화면: 긍정, 편리한 이동: 긍정, 미러링 기능: 긍정, 연말 파티 활용: 긍정",긍정
배송도 빠르고 친절하게 구매 잘했습니다.감사합니다.,"빠른 배송, 친절한 서비스","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
최애 상품입니다. 강추합니다.,"최애 상품, 강추",상품,상품: 긍정,긍정
비싸긴한데 이동형 티비 이거만한게 없어요ㅎㅎ화질과 음질이 좋아서 가끔 영화관 온줄 알아요,"비싼 가격, 이동형 티비, 좋은 화질, 좋은 음질","가격, 이동성, 화질, 음질","가격: 부정, 이동성: 긍정, 화질: 긍정, 음질: 긍정",긍정
배송빠르고 설치 금방 잘해주셨어요.너무 이쁘고 좋아용,"빠른 배송, 빠른 설치, 예쁨, 만족","배송, 설치, 외관","배송: 긍정, 설치: 긍정, 외관: 긍정",긍정
이동하면서 볼수있어서 좋아요,"이동성, 편리함","이동성, 편리함","이동성: 긍정, 편리함: 긍정",긍정
배송 빠르고 좋습니다~,"빠른 배송, 좋음",배송,배송: 긍정,긍정
"구매 후 《34일》만에 배송완료구매 12월 11일 ▶배송 1월 13일.■ 한 줄 요약 신제품을 한 달이 넘게 걸리더라도 꼭 받고 싶다면 여기서 구매하는 것을 강력히 추천합니다.배송완료 전에 배송 3차례 연기.첫번째 전화 - 1월 11일 목 도착예정두번째 전화 - 1월 12일 금 도착예정세번째 전화 - 1월 13일 토 도착예정■ 이 제품은 구매대행입니다.이 판매자는 B2B로 물건을 대신 구입해서 판매하는 《구매대행》이므로 주문만 하는 사람일 뿐, 배송에 대해서 그 어떠한 조치도 할 수 없습니다. 배송에 관한 모든 문의는 추후에 배송업체가 지정되면 그 배송업체와 협의해야 합니다.■ 3주 이내로 배송받고 싶으시다면?해당 제품은 공급부족으로 3주 이내 배송이 불가능한 경우가 발생할 수 있으니, 3주 이내로 빨리 물건을 받고 싶은 분이라면 당근이나 중고카페에서 구입하시는 것도 생각해보시면 좋겠습니다.정규 신제품을 한 달이 넘게 걸리더라도 받고 싶다면 여기서 구매하는 것을 강력히 추천합니다.","긴 배송, 구매대행, 배송 지연, 공급부족","배송, 구매대행, 공급","배송: 부정, 구매대행: 중립, 공급: 부정",부정
없어서는 안될 필수품!,필수품,필수품,필수품: 긍정,긍정
생각보다 활용도에서 편리합니다화질도 괜찮아요,"편리한 활용도, 괜찮은 화질","활용도, 화질","활용도: 긍정, 화질: 긍정",긍정
이사가기전 구입했어요ㅎ좋네요,"구입, 좋음",구입,구입: 긍정,긍정
말이 필요 없죠 아주 편하고 좋아요,"편리함, 만족","편리함, 품질","편리함: 긍정, 품질: 긍정",긍정
또렷하고 키가 큰 아이패드를 구매한 기분이에요. 삼탠하고 비교불가 입니다. 왕추천드려요!,"또렷한 화면, 큰 크기, 추천","화면, 크기, 추천","화면: 긍정, 크기: 긍정, 추천: 긍정",긍정
사용할수록 편리하고 잘구입 했다는것을 느낍니다!,"편리함, 만족","사용성, 구매","사용성: 긍정, 구매: 긍정",긍정
역시 명품가전답게 명성에 맞습니다. 너무 유용하고 삶의 질이 올라가네요,"명품가전, 유용함, 삶의 질 향상","제품 품질, 유용성, 삶의 질","제품 품질: 긍정, 유용성: 긍정, 삶의 질: 긍정",긍정
"공간 많이 차지하지 않고, 필요시 마다 옮겨서 사용할 수 있어 좋아요","공간 절약, 이동성","공간, 이동성","공간: 긍정, 이동성: 긍정",긍정
여기저기 이동이 쉽고 사운드가 생각보다 좋습니다^^,"이동 용이, 좋은 사운드","이동, 사운드","이동: 긍정, 사운드: 긍정",긍정
2023 최고의 소비 : 스탠바이미자취생에게 강추합니다 저도 자취하는데 맨날 켜놓고 봐요 설거지할 때 옆에 두고 보기도 좋고 자기 전에 침대옆에 두고 보기도 좋고 밥먹을때 앞에 두고 보기도 굿... 아주아주아주 잘 쓰고 있어요👍🏻👍🏻👍🏻,"자취생 추천, 편리한 사용","사용, 추천","사용: 긍정, 추천: 긍정",긍정
배송빠르고 물건 좋아요,"빠른 배송, 좋은 물건","배송, 물건","배송: 긍정, 물건: 긍정",긍정
부모님께서 아주 잘 사용하세요,잘 사용,사용,사용: 긍정,긍정
배송도빠르고 상품도 매우만족합니다,"빠른 배송, 상품 만족","배송, 상품","배송: 긍정, 상품: 긍정",긍정
삼탠바이미도 고려해봤지만 오리지널이 좋긴 좋아요~,오리지널 선호,제품,제품: 긍정,긍정
티비 안전하고 깔끔하게 도착하고 설치 되었다고 연락왔어요~ 감사합니다,"안전한 배송, 깔끔한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
적극추천 드립니다!,적극추천,추천,추천: 긍정,긍정
좋습니다. 추천합니다,추천,추천,추천: 긍정,긍정
너무편하고좋아요아이패드만보다이걸로보니 눈이편해요,"편안함, 눈 편안함","편안함, 눈 편안함","편안함: 긍정, 눈 편안함: 긍정",긍정
설치도 빠르고 아주 좋네요,"빠른 설치, 좋음",설치,설치: 긍정,긍정
티비 없는 집이에요테블릿으로 OTT보다가 스텐바이미로 보니깐 시청의 질이 달라지네요침대위에서도 거실에서도 집안일 하면서도 이동이 편해요사길 잘했어요,"시청 질 향상, 이동 편리, 만족","시청 질, 이동 편리","시청 질: 긍정, 이동 편리: 긍정",긍정
안방에 놓구 보기 좋아요,보기 좋음,디자인,디자인: 긍정,긍정
넘이쁘고 움직일수있어 실용적이에요기사님이와서설치까지 다해주셨습니다,"예쁜 디자인, 실용성, 설치 서비스","디자인, 실용성, 설치","디자인: 긍정, 실용성: 긍정, 설치: 긍정",긍정
아주 잘 사용하고 있습니다!! 좋아요좋아!!,"만족, 좋아요",사용,사용: 긍정,긍정
제일싸게샀어여 ㅜㅜ가심비짱 ㅋㅋ진작살껄..ㅋㅋㅋㅋ좋운가격 빠른배송 굳입니디,"좋은 가격, 빠른 배송","가격, 배송","가격: 긍정, 배송: 긍정",긍정
결혼 선물로 딱 좋네요,결혼 선물,선물,선물: 긍정,긍정
역시 스탠바이미에용.. 예쁘고 실용적이고 너무너무 만족합니더!,"예쁨, 실용성, 만족","디자인, 실용성","디자인: 긍정, 실용성: 긍정",긍정
화질이 너무너무 좋구요. 반응속도도 좋네요.삶의 질이 달라집니다,"좋은 화질, 빠른 반응속도, 삶의 질 향상","화질, 반응속도, 삶의 질","화질: 긍정, 반응속도: 긍정, 삶의 질: 긍정",긍정
친구집에서 우연히 사용해보았습니다너무 좋아서 기다리다 좋은 가격에 규매한것같아요이동하면서도 무선으로 이용 가능해서 좋은거같구요스피커 까지 설치 하랴믄디 스피커는 품절이라 아쉽네요정말 좋습니다 집순이 집돌이분들께는 최고의 아이템이지 않을까 싶습니다 일반 티비 처럼 리모콘으로 조작도 가능하구뇨디자인 또한 심플 하여 질리지않는거같아요 추천합니다 배송도 깔끔하고 기사님이 설치 다 해주셨네요 잘쓰겠습니다 ㅎㅎ,"좋은 가격, 무선 이용, 스피커 품절, 최고의 아이템, 심플 디자인, 깔끔한 배송, 설치 서비스","가격, 무선 이용, 스피커, 아이템, 디자인, 배송, 설치","가격: 긍정, 무선 이용: 긍정, 스피커: 부정, 아이템: 긍정, 디자인: 긍정, 배송: 긍정, 설치: 긍정",긍정
상품 잘 받았습니다 감사합니다!,"상품 수령, 감사",상품 수령,상품 수령: 긍정,긍정
