issue,theme,긍정,부정,중립,total
이동형 스크린,기타,0,0,1,1
스피커채널 4.0ch,플랫폼 및 기술 지원,0,0,1,1
시그니처 라인 존재,기타,0,0,1,1
이벤트 중,기타,0,0,1,1
이벤트 중복 참여 가능,프로모션 및 이벤트,0,0,1,1
시댁에서 사용,기타,1,0,0,1
시장조사,기타,0,0,1,1
시스루컷 추천,디자인 및 외관,1,0,0,1
이벤트 경품 신청 기회,이벤트 및 경품,1,0,0,1
시리즈 역대 최고,기타,1,0,0,1
이벤트 공유,구매 및 이벤트,0,0,1,1
시리즈 사상 최고 관객 수 기록,제품 특성 및 기능,1,0,0,1
이미지 첨부 필수,기타 이슈 및 요구,0,0,1,1
이벤트 구매 의향,가격 및 구매 정보,0,0,1,1
시력 보호,건강 및 생활,1,0,0,1
이벤트 기간,이벤트 및 프로모션,0,0,1,1
이벤트 기대감,이벤트 및 경품,1,0,0,1
이마트패밀리공동기획 행사,마케팅 및 이벤트,0,0,1,1
시네빔 낮에 보기 어려움,제품 비교 및 평가,0,1,0,1
이민자들의 생활,기타,0,0,1,1
이벤트 당첨,마케팅 및 이벤트,0,0,1,1
이마트 트레이더스에서 스탠바이미 판매,기타,0,0,1,1
이벤트 당첨 기대,이벤트 및 프로모션,1,0,0,1
이사 준비,이동 및 설치 용이성,0,0,1,1
이른 도착,기타,0,0,1,1
이동형 제품,제품 디자인 및 이동성,0,0,1,1
시청용으로 좋음,사용 및 설치,1,0,0,1
이벤트 만족,이벤트 및 프로모션,1,0,0,1
이벤트 시작,이벤트 및 혜택,0,0,1,1
이벤트 신청 권장,마케팅 및 판매,0,0,1,1
시나리오 작가,기타,0,0,1,1
이벤트 안내,이벤트 및 혜택,0,0,1,1
영어 실력 향상,기타,1,0,0,1
이색 데이트 코스,기타,1,0,0,1
스피커로 사용,사용 사례 및 추천,0,0,1,1
에어팟맥스,기타,0,0,1,1
스피커 사용,기타,0,0,1,1
스피커 문제,제품 기능 및 사양,0,1,0,1
스피커 만족,제품 기능 및 성능,1,0,0,1
스피커 디자인,제품 기능 및 디자인,0,0,1,1
이천 숙소 추천,기타,0,0,1,1
스피커 내장,기능 및 성능,1,0,0,1
이해와 신뢰 과정 인상적,문화 및 엔터테인먼트,1,0,0,1
스피커 고정 용이,제품 기능 및 사용성,1,0,0,1
인공지능,기능 및 성능,0,0,1,1
인공지능 ThinQ,제품 기능 및 연결성,0,0,1,1
인공지능 리모컨,제품 기능 및 디자인,0,0,1,1
스피커 XT7S 20W,제품 기능 및 디자인,0,0,1,1
인공지능 사운드,플랫폼 및 기술 지원,0,0,1,1
인공지능 화질,제품 기능 및 연결성,0,0,1,1
스플래툰,기타,0,0,1,1
스포티비 이벤트 당첨,이벤트 및 프로모션,1,0,0,1
스포츠채널 라이브 어플 부족,기타,0,1,0,1
야외활동에서 사용,사용 용도 및 환경,1,0,0,1
인공지능씽큐,제품 기능 및 디자인,0,0,1,1
야채주스 정기배송,정기구독 및 서비스,0,0,1,1
인기 많은 제품,고객 만족 및 리뷰,0,0,1,1
스펙 정보 확인,기능 및 사용,0,0,1,1
스펙 정보 제공,제품 정보 및 혜택,0,0,1,1
야쿠르트 팝핑프로바이오틱스,기타,0,0,1,1
스펙 비교,기타,0,0,1,1
에쓰오일 세븐컵 스크린 대회,참여 및 체험,0,0,1,1
에뮬용 사용 가능성,기타,0,0,1,1
스티커 잘 제거됨,개인 사정 및 기타,1,0,0,1
약과도넛,기타,0,0,1,1
스피커 성능 놀람,기능 및 성능,1,0,0,1
스피커 성능 만족,제품 사용 경험 및 평가,1,0,0,1
스피커 성능 좋음,음향 및 스피커,1,0,0,1
스피커 적용,스피커 및 음질,1,0,0,1
이사 후 가전제품 구매,기타,0,0,1,1
스피커 할인,기타,0,0,1,1
이상적인 솔루션,기타,1,0,0,1
스피커 품절,제품 구매 및 기대,0,1,0,1
에어팟 프로2 제공,제품 기대 및 스펙,0,0,1,1
스피커 탑재,구성 및 설치,0,0,1,1
이동형 모니터와 TV 사이의 고민,사용 및 설치 환경,0,0,1,1
스피커 출력 20W,플랫폼 및 기술 지원,0,0,1,1
스피커 출력,기능 및 성능,0,0,1,1
이색체험 공간 확대,기타,0,0,1,1
이야기 마무리,기타,0,0,1,1
이어폰 없음,기타,0,1,0,1
스피커 추가 구매 고려,기타,0,0,1,1
이용 규칙 안내,기타,0,0,1,1
이젤형 스탠드 구매 옵션,스탠바이미 제품,0,0,1,1
에어팟 프로 2세대,기타,0,0,1,1
스피커 장비 세팅 어려움,기타,0,1,0,1
스피커 위치 어색함,기타,0,1,0,1
이용규칙 확인,기타,0,0,1,1
이유식 소분 시 활용,기타,1,0,0,1
이전 모델보다 개선,제품 비교 및 평가,1,0,0,1
에어팟 연결 문제,기타,0,1,0,1
에어텐트 설치 편리,기타,1,0,0,1
야외활동 시 유용,사용 환경 및 용도,1,0,0,1
스피커 옵션 필요 여부,제품 사용 경험 및 평가,0,0,1,1
이전의 명성,기타,0,0,1,1
스피커 역할,기타,1,0,0,1
스피커 아쉬움,기타,0,1,0,1
이동형 사용 편리,이동 및 휴대성,1,0,0,1
식사 중 시청 장소 고민,사용 환경 및 조건,0,0,1,1
이동형 모니터 스탠드,제품 디자인 및 기능,0,0,1,1
야외용 프라이빗 스크린,사용 환경 및 용도,0,0,1,1
신선한 원재료 사용,기타,1,0,0,1
이동 편의성,이동성과 휴대성,0,0,1,1
신상품,제품 상태 및 제조 정보,0,0,1,1
이동 편의성 강화,이동식 TV 및 포터블 스크린,1,0,0,1
이동 활용성,사용 환경 및 설치,1,0,0,1
야외 활동 활용,활용 및 용도,0,0,1,1
야외 활동에서 필요성,기타,1,0,0,1
신상 제품,제품 혁신 및 신제품,0,0,1,1
신상 아이템 소개,신제품 및 출시 소식,0,0,1,1
이동가방 없음,부가 정보 및 기타,0,0,1,1
야외 활용 가능,캠핑 및 야외 활용,1,0,0,1
신변 위험,기타,0,1,0,1
야외에서 대화면 시청,활용 및 용도,1,0,0,1
신박한 디자인,기타,0,0,1,1
엘지 씽큐 통제,제품 기능 및 성능,1,0,0,1
야외에서 이동성 좋음,이동성과 설치,1,0,0,1
신바이오틱스 변경,기타,0,0,1,1
이동성 강화,기타,1,0,0,1
이동성 극대화,사용자 편의성 및 이동성,0,0,1,1
엘지 스탠바이미와 삼성 삼텐바이미 비교,기타,0,0,1,1
이동성 최고,이동성과 휴대성,1,0,0,1
신뢰감,기타,1,0,0,1
신랑의 배려,디자인 및 개인화,1,0,0,1
야외용 캔틸레버 우산,기타,0,0,1,1
신동품 판매,기타,0,0,1,1
엘지 스탠바이미2,스탠바이미 및 스마트 모니터 관련,0,0,1,1
엘지 스탠바이미 추천,사용 경험 및 인기,1,0,0,1
엘지 스탠바이미 정보 제공,스탠바이미 제품 관련,0,0,1,1
신기한 물건에 호기심,기타,0,0,1,1
신세계 상품권 경품,이벤트 및 혜택,0,0,1,1
신세계쓱 가격,기타,0,0,1,1
신속한 처리,서비스 및 지원,1,0,0,1
이동 시 안정적,디자인 및 스타일,1,0,0,1
이동 가능한 스탠드식 무선 스마트 TV,이동식 스마트 TV,0,0,1,1
이동 가능한 스탠바이미 고려,기타,0,0,1,1
이동 및 설치 간편,제품 설치 및 조립,0,0,1,1
엘지 트윈스 챔피언 로고,마케팅 및 이벤트,0,0,1,1
신청곡 가능,기타,1,0,0,1
야외 콘텐츠 즐기기,캠핑 및 야외 활동,1,0,0,1
신청 마감,기타,0,0,1,1
신중한 TV 구매,가격 및 구매,0,0,1,1
엘지 제품 사용,기타,0,0,1,1
이동 쉬운 티비,제품 적합성 및 사용 장소,1,0,0,1
신제품 정보 부족,제품 특징 및 활용,0,1,0,1
이동 스탠드,제품 이동성 및 설치,0,0,1,1
이동 스탠드 조립,편의 및 이동성,0,0,1,1
야외 활동,기타,1,0,0,1
신용카드 할부 가능,거래 및 구매 방법,0,0,1,1
이동 어려움,이동 및 설치,0,1,0,1
신제품 전시,참여 및 체험,0,0,1,1
신제품 불안,기타,0,1,0,1
이동 중 엔터테인먼트,이동 및 휴대성,1,0,0,1
신제품 만족,시장 반응 및 인기,1,0,0,1
이동 중 편리,휴대성과 이동성,1,0,0,1
신제품 기대,마케팅 및 이벤트,0,0,1,1
신제품 고양이간식,기타,0,0,1,1
이동 중 편리한 휴대,제품 휴대성과 이동성,1,0,0,1
야외 활동 최적화,캠핑 및 야외 활동,1,0,0,1
신일선풍기 증정,제품 판매 및 혜택,0,0,1,1
신원CC 에벤에셀 코스 정복,기타,0,0,1,1
이동 중 활용,캠핑 및 이동성,1,0,0,1
신규가입 혜택,소비자 혜택 및 이벤트,0,0,1,1
이동식 TV 구매 고민,제품 특징 및 사용성,0,0,1,1
엘지 디스플레이 감성,브랜드 및 광고,1,0,0,1
이동이 간편한 디자인,제품 특성 및 기능,1,0,0,1
엑스붐 360 모델 추천,제품 특징 및 활용,0,0,1,1
이동식 스탠드 활용,이동성과 설치,1,0,0,1
이동식 스탠바이미 사용,사용자 편의성 및 이동성,1,0,0,1
이동식 스탠바이미 쓸모,제품 특징 및 사용성,0,0,1,1
식상한 구조 대체,기타,1,0,0,1
에코플로우 파워뱅크 연결,이동식 TV 및 포터블 스크린,0,0,1,1
이동식 텔레비전,제품 기능 및 성능,0,0,1,1
식사와 함께 시청,가족 및 공동 사용,0,0,1,1
에코백과 헬리녹스 패치 제공,제품 교환 및 거래,0,0,1,1
이동식 티비 사용,기타,0,0,1,1
이동식 티비거치대,캠핑 및 휴대성,0,0,1,1
이동식 티비스탠드,이동성과 휴대성,0,0,1,1
이동식 휠로 쉬운 이동,사용 경험,1,0,0,1
이동이 많은 수업에 적합,사용 환경 및 편리성,1,0,0,1
식탁 고정 사용,기타,0,0,1,1
이동형,이동 및 휴대성,1,0,0,1
에어플레이2 지원,제품 기능 및 연결성,0,0,1,1
에어플레이 해상도 불일치,기능 및 성능,0,1,0,1
이동형 TV 구매 추천,제품 특성 및 용도,1,0,0,1
식사시간 TV 시청,제품 특징 및 활용,1,0,0,1
이동형 TV 렌탈,제품 디자인 및 이동성,0,0,1,1
스티븐 킹의 자전적 이야기,기타,0,0,1,1
이동형 TV 연상,기타,0,0,1,1
이동형 TV 필요,설치 및 이동성,0,0,1,1
이동형 TV로 각광,휴대성과 보관,1,0,0,1
에어플레이 지원 기대,제품 특성 및 기능,1,0,0,1
식사 중 TV 시청,사용 환경 및 편리성,1,0,0,1
이동형 기기,이동성과 휴대성,0,0,1,1
식전영상 활용,교육 및 특별 용도,0,0,1,1
이동식 스탠드 패키지,디자인 및 공간 활용,0,0,1,1
신규 출시,제품 출시 및 인지도,0,0,1,1
엔터테인먼트 조화,기타,0,0,1,1
신규 입고,신제품 및 출시 소식,0,0,1,1
이동식 TV 스탠드,제품 디자인 및 기능,0,0,1,1
이동식 TV의 선두주자,기타,1,0,0,1
이동식 TV의 장점,이동식 TV 및 포터블 스크린,1,0,0,1
이동식 TV형 모니터 사용,제품 특징 및 비교,0,0,1,1
엘지 공식사이트 구매 불가,결제 및 구매 관련,0,0,1,1
신규 모델 발탁,기타,0,0,1,1
이동식 가능,이동 및 휴대성,1,0,0,1
신규 모델,제품 상태 및 가격,0,0,1,1
이동식 거치대 구매,이동 및 설치 용이성,0,0,1,1
신규 가입 및 응모 혜택,부가 서비스 및 혜택,1,0,0,1
엔텐바이미 설치,이동 및 설치,0,0,1,1
이동식 라이프 스타일 스크린,이동성과 휴대성,0,0,1,1
이동식 모델 야외 사용 편리,사용자 경험,1,0,0,1
이동식 스탠드 장점,이동식 스마트 TV,1,0,0,1
이동식 무게잡이,사용 및 설치 환경,0,0,1,1
이동식 무선 스마트 TV,제품 기능 및 디자인,0,0,1,1
신개념 TV,기타,0,0,1,1
식탁에서 시청,사용 환경 및 용도,0,0,1,1
이동식 스크린,휴대성과 이동성,0,0,1,1
이동식 스크린 선호,기타 기능 및 고민,0,0,1,1
엔터테인먼트 업그레이드,제품 평가 및 후기,1,0,0,1
이동식 스탠드 TV,이동성과 휴대성,0,0,1,1
식탁 앞에서 사용,사용 환경 및 목적,0,0,1,1
식탁 구매,기타,0,0,1,1
엔터테인먼트,기타,0,0,1,1
이동식 스탠드 스마트TV,제품 성능 및 기능,0,0,1,1
이동식 스탠드 스크린 인기,캠핑 및 외부 활용,1,0,0,1
스티커 수집,기타,0,0,1,1
인기 예상,제품 평가 및 기대,0,0,1,1
약물중독 사건,기타,0,1,0,1
입주 전 사치로 구매 안 함,부정적 평가,0,0,1,1
자가 설치 가능,사용자 경험,0,0,1,1
자가격리로 인한 배송 불편,제품 출시 및 리뷰,0,1,0,1
스탠바이미고 제품 관심,제품 출시 및 관심,1,0,0,1
언박싱 기대감,기타,1,0,0,1
언박싱 경험,기타,1,0,0,1
어두운 영역 디테일 표현,화질 및 화면,1,0,0,1
어디든 함께 하고 싶음,기타,0,0,1,1
자기전 넷플릭스 시청,제품 특징 및 활용,1,0,0,1
자기전 시청,사용 경험 및 후기,1,0,0,1
어플 초기설정 설명 부족,제품 사용 및 설치,0,1,0,1
어디든 휴대 가능,캠핑 및 휴대성,1,0,0,1
스탠바이미고 제작 어려움,기타,0,0,1,1
자녀 화면 터치 문제,문제 및 개선점,0,1,0,1
스탠바이미고 정보 제공,기타,0,0,1,1
자동 모바일 연결,기술 및 기능,1,0,0,1
스탠바이미고 접이식 디자인,제품 디자인 및 구조,0,0,1,1
스탠바이미고 장단점,제품 인기 및 추천,0,0,1,1
스탠바이미고 이벤트 발견,이벤트 및 혜택,0,0,1,1
"스탠바이미고 월 32,500원",기타,0,0,1,1
자동 스타일,제품 기능 및 사용성,1,0,0,1
자동 인식,제품 기능 및 성능,1,0,0,1
스탠바이미고 우수한 기능,제품 성능,1,0,0,1
자동 청소 및 건조,기타 제품 및 서비스,1,0,0,1
자동 켜짐,제품 기능 및 사용성,1,0,0,1
자동 켜짐 기능,다양한 기능 및 설정,0,0,1,1
자동연결 기능,제품 특징 및 사용성,1,0,0,1
자동차 사용,기타,0,0,1,1
자랑스러움,제품 만족도 및 홍보,1,0,0,1
자리 차지,사용 편의성 및 기능,0,1,0,1
있으면 좋음,기타 기능 및 고민,1,0,0,1
입주,마케팅 및 판매,0,0,1,1
자리 차지 적음,제품 기능 및 사양,1,0,0,1
스탠바이미고 제품 보유,기타,0,0,1,1
일정 변동 가능,이벤트 및 프로모션,0,0,1,1
일체형 구조,제품 활용 및 기능,0,0,1,1
엄청난 상품,사용자 경험 및 리뷰,1,0,0,1
스탠바이미고 판매 고려,기타,0,0,1,1
얼리 어답터,기타,0,0,1,1
얼굴 공개 어려운 인물 인터뷰 가능,기타,0,0,1,1
스탠바이미고 캠핑카 여행,이동 및 캠핑 활용,0,0,1,1
스탠바이미고 출시,제품 출시 및 이벤트,0,0,1,1
스탠바이미고 체험단,제품 출시 및 트렌드,0,0,1,1
스탠바이미고 챔피언에디션 미개봉,한정판 및 기념품,0,0,1,1
언제 어디서든 사용 가능,기타,1,0,0,1
스탠바이미고 챔피언 에디션 미개봉,제품 특징 및 기능,0,0,1,1
일체형 세탁건조기 워시타워,기타,0,0,1,1
일체형 스탠드 디자인,기타,1,0,0,1
일체형 아님,기타,0,1,0,1
얇은 베젤,기타,1,0,0,1
일체형 여부,제품 기능 및 사양,0,0,1,1
언박싱 후기,기타,0,0,1,1
일체형 캐리백 디자인,기타,0,0,1,1
임산부 사용,건강 및 생활,1,0,0,1
임소영 DJ,기타,0,0,1,1
언박싱 도움,기타,0,0,1,1
임직원 세일,제품 상태 및 가격,0,0,1,1
입식 테이블 선호,사용 및 설치 환경,0,0,1,1
입자가 작은 두부모래,기타,1,0,0,1
스탠바이미고 증정,특별한 경험 및 기능,0,0,1,1
스탠바이미고 즐김,제품 인기 및 추천,1,0,0,1
입장 절차,기타,0,0,1,1
스탠바이미고 제품 정보,기타,0,0,1,1
스탠바이미고 올려놓기 좋음,기타,1,0,0,1
자막 선택 기능,사용자 편의 및 기능,1,0,0,1
스티븐 킹의 공포소설,문화 및 엔터테인먼트,0,0,1,1
스탠바이미고 세일,제품 특징 및 기능,0,0,1,1
작가 설명란 인상적,문화 및 엔터테인먼트,1,0,0,1
작가 직업에 대한 부정적 인식,문화 및 엔터테인먼트,0,1,0,1
작가가 될 가능성,문화 및 엔터테인먼트,1,0,0,1
작년 모델과 올해 모델 비교,제품 및 모델 비교,0,0,1,1
작동 상태 확인,제품 상태 및 신뢰성,0,0,1,1
작동 이상 없음,기타,1,0,0,1
작동법 설명,기타,0,0,1,1
작동법 익히기,기타,0,0,1,1
작아진 사이즈,제품 크기 및 디자인,1,0,0,1
작아진 화면에 대한 우려,제품 특징 및 활용,0,1,0,1
작은 거실에 적합,사용 환경 및 용도,0,0,1,1
어렵게 구매한 스탠바이미,제품 출시 및 리뷰,0,0,1,1
어른이 되면서 다시 보고 싶은 애니메이션,문화 및 엔터테인먼트,0,0,1,1
작은 공간 활용,사용 편의성 및 기능,0,0,1,1
스탠바이미고 선물,제품 인기 및 추천,1,0,0,1
어린시절 향수 자극,기타,1,0,0,1
어린 아이로 인해 86인치 TV 사용 제한,기타,0,0,1,1
스탠바이미고 상품,기타,0,0,1,1
작은 공간에 적합,사용 용도 및 환경,1,0,0,1
스탠바이미고 사은품 제공,캠핑 및 야외 활동,1,0,0,1
작은 돔텐트 원함,부가 정보 및 기타,0,0,1,1
스탠바이미고 사용 횟수,제품 교환 및 거래,0,0,1,1
작은 마을 캐슬록,영화 및 문학 관련,0,0,1,1
작은 부피,기타,1,0,0,1
작은 사진도 잘 보임,사용자 경험 및 만족도,1,0,0,1
작은 원룸에서도 사용 가능,사용 용도 및 환경,1,0,0,1
작은 집에 적합,제품 설치 및 사용 환경,0,0,1,1
스탠바이미고 보관 박스,부가 정보 및 기타,0,0,1,1
작은 평수 신혼가구,구매 고려 및 비교,0,0,1,1
자취생 필수품,가격 및 구매,1,0,0,1
자취방 추천,제품 특성 및 기능,1,0,0,1
어릴 때의 기억,영화 및 문학 관련,0,0,1,1
자취방 및 인테리어용 TV,사용 환경 및 용도,0,0,1,1
자막 선택 기능 만족,기능 및 성능,1,0,0,1
어디서나 사용 가능,다양한 사용 환경,1,0,0,1
자석 부착,기술 및 기능,0,0,1,1
자석 스탠드,기타,0,0,1,1
자세한 내용 및 혜택 전달,기타,0,0,1,1
자세한 정보 및 구입 방법 제공,서비스 및 지원,0,0,1,1
어디서나 영화관,사용 장소 및 활용,1,0,0,1
어디에 놓아도 예쁨,디자인 및 외관,1,0,0,1
자신에 대한 단정,기타,0,0,1,1
자연과 함께 사용,사용 환경 및 활용,1,0,0,1
어딘가 올려놓아야 함,캠핑 및 외부 활용,0,1,0,1
스탠바이미고 예약,기타,0,0,1,1
자유로운 감상,기타,0,0,1,1
자유로운 공간 이동,캠핑 및 휴대성,0,0,1,1
자유로운 영상 및 정보 접근,기능 및 성능,1,0,0,1
스탠바이미고 영입,제품 특징 및 기능,1,0,0,1
스탠바이미고 영상노출기기 검색,제품 특징 및 기능,0,0,1,1
자유로운 영상 시청,사용자 경험,1,0,0,1
스탠바이미고 언급,제품 모델 및 출시,0,0,1,1
어린아이 있는 집 사용 후기 요청,사용 환경 및 용도,0,0,1,1
스탠바이미고 실물 만족,제품 및 모델 비교,1,0,0,1
스탠바이미고 수령,특별한 경험 및 기능,1,0,0,1
어린아이 있는 집 사용,사용자 경험 및 평가,0,0,1,1
자유로운 이동성,이동 및 휴대성,1,0,0,1
어려운 캐스팅 작업,기타,0,0,1,1
자주 사용하지 않음,사용자 경험 및 리뷰,0,1,0,1
자주 영화 시청,기타,1,0,0,1
자체 설치 불가,기타,0,1,0,1
자취방 꾸미기,디자인 및 외관,0,0,1,1
업그레이드,시장 및 경제,1,0,0,1
스탠바이미고 팝업스토어,개인 사정 및 기타,0,0,1,1
스탠바이미고 패키지,추가 기능 및 혜택,1,0,0,1
인덕션/냉장고/전자레인지/정수기 제공,제품 기능 및 성능,1,0,0,1
인버터 가동전력,기술 및 기능,0,0,1,1
업데이트 가능성,기타,0,0,1,1
업그레이드된 화질,기타,1,0,0,1
인스타그램 업로드,기타,0,0,1,1
스탠바이미와 유사한 제품,제품 비교 및 차별성,0,0,1,1
스탠바이미와 스피커 세트 구입,제품 비교,0,0,1,1
스탠바이미와 스탠바이미고 조합,기타,1,0,0,1
스탠바이미와 스탠바이미고 비교 고민,제품 비교 및 평가,0,0,1,1
업그레이드된 제품,기타,1,0,0,1
인스타그램 인증,기타,0,0,1,1
인스타에 알려지지 않은 LP바 느낌,기타,1,0,0,1
스탠바이미와 스타일러 비교,제품 비교 및 선택,0,0,1,1
스탠바이미와 쇼파 공간,디자인 및 스타일,0,0,1,1
업그레이드된 신제품,제품 기능 및 성능,0,0,1,1
인증사진 추첨 이벤트,프로모션 및 이벤트,0,0,1,1
인지도 높은 제품,제품 출시 및 인지도,0,0,1,1
업그레이드된 스펙,기타,1,0,0,1
인천 직거래 가능,지역 및 거래 조건,0,0,1,1
스탠바이미와 삼탠바이미 비교,스탠바이미 관련,0,0,1,1
인체 척추라인 유지,건강 및 안전,1,0,0,1
스탠바이미와 삼탠바이미 고민,사용자 경험,0,0,1,1
스탠바이미와 빔프로젝터 사용 고민,구매 고려 및 비교,0,0,1,1
인치 만족,기능 및 사용,1,0,0,1
인크레더블탱크 게임 20번 레벨 어려움,기타 제품 및 서비스,0,1,0,1
인터넷 IPTV 결합 상품,기술 및 기능,0,0,1,1
스탠바이미와 빔 프로젝트 비교,제품 특징 및 활용,0,0,1,1
인터넷 가입 시 사은품 추천,가격 및 구매,0,0,1,1
인터넷 교체로 할인 구매 가능,가격 및 거래 조건,0,0,1,1
스탠바이미와 비교,브랜드 및 모델,0,0,1,1
스탠바이미와 일반 TV 비교,제품 특징 및 비교,0,0,1,1
스탠바이미와 팬히터 구매 가능성,제품 특징 및 활용,0,0,1,1
스탠바이미고 패키지 미존재,기타,0,1,0,1
인기몰이,시장 및 소비자 반응,1,0,0,1
스티븐 킹 원작 영화,영화 및 문화,0,0,1,1
스티븐 킹 소설 원작,영화 및 문화,0,0,1,1
스티븐 킹 소설 기반,영화 및 문학 관련,0,0,1,1
스트리밍 서비스 구독 고민,기타,0,0,1,1
인기 소설가,기타,0,0,1,1
신품 미개봉,제품 상태 및 사용,0,0,1,1
스트리밍 가능,제품 및 기능,0,0,1,1
인기 의문,제품 불만 및 실망,0,0,1,1
인기 있는 LG 가전,기타,0,0,1,1
스텐바이미 고,기타,0,0,1,1
인기 있는 LP바,기타,1,0,0,1
에너지 효율성,에너지 및 환경,1,0,0,1
인기 있는 보호필름,기타,1,0,0,1
인기 있는 스탠드,기타,0,0,1,1
인기 있는 스탠바이미 필름,기타,1,0,0,1
인기 있는 액정 보호 필름,기타,1,0,0,1
스탠에서 하프스터디 가능,제품 및 모델 비교,0,0,1,1
인기 있는 이동식 TV,기타,0,0,1,1
인기 있는 전자제품,긍정적 평가,1,0,0,1
스탠바이비 경품,참여 및 이벤트,0,0,1,1
업무용 모니터로 사용,기타,1,0,0,1
스탠바이미티비 정보 제공,기타,0,0,1,1
인기 있는 핫플레이스,기타,1,0,0,1
스탠바이미처럼 사용,사용 사례 및 추천,0,0,1,1
스탠바이미의 지속적인 인기,제품 만족도 및 인기,1,0,0,1
인기 있는 휴대용 디스플레이,기타,1,0,0,1
스탠바이미의 매력,스탠바이미 제품 관련,1,0,0,1
인기 증가,사용 경험 및 인기,1,0,0,1
스탠바이미의 등장,스탠바이미 제품 및 기능,0,0,1,1
인터넷 브라우저 동시 사용 가능,기술 및 기능,1,0,0,1
스탠바이미와 벽걸이/스탠드 TV 비교,구매 고려 및 비교,0,0,1,1
인터넷 영상,다양한 기능 및 설정,0,0,1,1
인터넷 웨이브 홈 시청,문제 및 불만,0,0,1,1
일괄 구매 시 네고,제품 구매 및 거래,0,0,1,1
업그레이드된 사운드,음향 및 스피커,1,0,0,1
일반 TV 시청 불가,기타,0,1,0,1
스탠바이미고와 유사한 디자인,제품 비교 및 기타,0,0,1,1
일반 TV보다 저렴,거래 및 가격,0,0,1,1
스탠바이미고와 교환 원함,제품 교환 및 거래,0,0,1,1
일반 TV와 비교,제품 비교 및 선택,0,0,1,1
약한 액정,기타,0,1,0,1
스탠바이미고와 게임기 연결,추가 기능 및 혜택,0,0,1,1
얇은 가방,디자인 및 소재,0,1,0,1
일반 스탠바이미 교환 가능,추천 및 계획,0,0,1,1
스탠바이미고로 노래 재생,기타,1,0,0,1
업그레이드된 모델,기타,0,0,1,1
스탠바이미고2 구매,제품 특성 및 용도,0,0,1,1
일본 아카데미상 애니메이션 우수상 수상,문화 및 이벤트,1,0,0,1
일본여행 구매,기타,0,0,1,1
일상 관리 편리,사용 편의성,1,0,0,1
일상 속 편리함,사용 및 활용,1,0,0,1
스탠바이미고 흠집 방지,개인 사정 및 기타,0,0,1,1
일상생활 편의성,사용 만족 및 편의성,1,0,0,1
스탠바이미고 획득 가능,제품 출시 및 관심,1,0,0,1
스탠바이미고 화제,신제품 및 출시 소식,0,0,1,1
스탠바이미고 호환,제품 및 액세서리,0,0,1,1
일상에서 사용,사용 환경 및 장소,0,0,1,1
일시불 구매 부담,구매 및 판매 정보,0,1,0,1
업그레이드 버전,기타,0,0,1,1
스탠바이미고 할인,마케팅 및 판매,0,0,1,1
스탠바이미고 한정판 판매,스탠바이미 제품 관련,0,0,1,1
일시적인 존재감,기타,0,0,1,1
스탠바이미고의 장점,기타,1,0,0,1
인테리어와 조화로운 히든 바퀴,제품 설치 및 사용 환경,1,0,0,1
스탠바이미는 TV,기타,0,0,1,1
스탠바이미와 TV 비교,스탠바이미 제품 및 기능,0,0,1,1
업그레이드된 스탠바이미,스탠바이미 제품,0,0,1,1
인터넷 활용,제품 특성 및 기능,1,0,0,1
인터넷보다 저렴,가격 및 비용,1,0,0,1
인터넷에서 인기,사용자 경험 및 리뷰,0,0,1,1
인테리어,디자인 및 인테리어,0,0,1,1
인테리어 가능,기타,1,0,0,1
스탠바이미와 기존 TV 설치 고민,제품 비교 및 선택,0,0,1,1
스탠바이미와 광파오븐 필요,제품 특성 및 용도,0,0,1,1
스탠바이미와 광파오븐 우선 선택,구매 및 선택 고민,0,0,1,1
인테리어 소품,기타,1,0,0,1
인테리어 소품으로 사용,디자인 및 인테리어,0,0,1,1
인테리어 스피커로 사용,기타,0,0,1,1
인테리어 영향 없음,인테리어 및 디자인,1,0,0,1
인테리어 용도,사용 사례 및 추천,0,0,1,1
스탠바이미로 결정,스탠바이미 제품 관련,0,0,1,1
인테리어 적합,기타,1,0,0,1
스탠바이미에 대한 긍정적 감정,기타,1,0,0,1
약한 다리,부정적 평가,0,1,0,1
인테리어 측면,디자인 및 외관,1,0,0,1
스탠바이미에 대한 관심,시장 반응 및 인기,0,0,1,1
스탠바이미로 큰 화면 시청 희망,제품 사용 및 기능,0,0,1,1
스탠바이미로 충분히 즐길 수 있음,스탠바이미 및 스마트 모니터 관련,1,0,0,1
스탠바이미로 충분,구매 고려 및 비교,0,0,1,1
스탠바이미로 음악 즐기기,사용자 경험,1,0,0,1
업그레이드된 성능,제품 기능 및 성능,1,0,0,1
인테리어 테마,디자인 및 인테리어,0,0,1,1
스탠바이미로 운동 가능,사용 용도 및 기능,1,0,0,1
인테리어와 어울림,고객 경험 및 만족도,1,0,0,1
엘지 틔운,기타,0,0,1,1
이동 가능성,이동식 스마트 TV,0,0,1,1
이동 가능한 스크린 TV,이동성과 휴대성,1,0,0,1
아이에너지T12 보조배터리 소개,기타,0,0,1,1
오토캠핑,사용 용도 및 환경,0,0,1,1
오토캠핑 못 감,사용 환경 및 용도,0,1,0,1
오토피벗 미지원,제품 기능 및 사용,0,1,0,1
아이패드로 주로 시청,기타,0,0,1,1
아이패드 부착 가능,기타,1,0,0,1
